iter	Passed	Remaining
429	1339	1775
430	1340	1769
431	1342	1764
432	1343	1758
433	1344	1753
434	1345	1747
435	1346	1741
436	1347	1735
437	1348	1730
438	1349	1725
439	1351	1719
440	1352	1714
441	1353	1708
442	1355	1704
443	1356	1698
444	1357	1693
445	1358	1687
446	1360	1682
447	1361	1677
448	1362	1672
449	1364	1667
450	1365	1662
451	1367	1657
452	1369	1653
453	1371	1649
454	1374	1646
455	1376	1642
456	1378	1637
457	1380	1633
458	1383	1630
459	1387	1628
460	1389	1624
461	1390	1619
462	1392	1614
463	1394	1610
464	1395	1605
465	1397	1601
466	1399	1596
467	1401	1592
468	1402	1588
469	1405	1585
470	1409	1583
471	1411	1579
472	1413	1574
473	1414	1569
474	1416	1565
475	1419	1562
476	1420	1557
477	1422	1553
478	1424	1549
479	1426	1545
480	1428	1541
481	1430	1536
482	1433	1534
483	1435	1530
484	1437	1526
485	1439	1522
486	1440	1517
487	1442	1513
488	1443	1508
489	1445	1504
490	1452	1505
491	1454	1501
492	1456	1497
493	1458	1493
494	1459	1489
495	1461	1485
496	1468	1486
497	1470	1482
498	1471	1477
499	1473	1473
500	1475	1469
501	1476	1464
502	1478	1460
503	1482	1459
504	1484	1455
505	1487	1452
506	1489	1448
507	1490	1443
508	1492	1439
509	1495	1436
510	1498	1434
511	1500	1429
512	1501	1425
513	1503	1421
514	1504	1417
515	1506	1412
516	1507	1408
517	1512	1407
518	1514	1403
519	1516	1400
520	1518	1396
521	1520	1392
522	1522	1388
523	1525	1386
524	1527	1382
525	1529	1378
526	1531	1374
527	1532	1370
528	1534	1366
529	1536	1362
530	1539	1359
531	1542	1356
532	1544	1352
533	1545	1348
534	1547	1344
535	1549	1341
536	1550	1337
537	1552	1332
538	1553	1329
539	1557	1326
540	1559	1322
541	1560	1318
542	1561	1314
543	1563	1310
544	1564	1306
545	1565	1302
546	1567	1298
547	1569	1294
548	1579	1297
549	1581	1294
550	1583	1290
551	1585	1286
552	1587	1283
553	1589	1279
554	1592	1276
555	1595	1274
556	1599	1271
557	1616	1280
558	1618	1276
559	1624	1276
560	1651	1292
561	1658	1292
562	1662	1290
563	1675	1295
564	1677	1291
565	1681	1289
566	1685	1287
567	1687	1283
568	1689	1279
569	1691	1276
570	1694	1272
571	1695	1268
572	1697	1264
573	1702	1263
574	1704	1259
575	1706	1256
576	1725	1265
577	1728	1261
578	1739	1264
579	1751	1268
580	1753	1264
581	1755	1260
582	1756	1256
583	1758	1252
584	1759	1248
585	1761	1244
586	1763	1240
587	1767	1238
588	1769	1234
589	1770	1230
590	1772	1226
591	1774	1223
592	1806	1239
593	1808	1235
594	1820	1238
595	1821	1234
596	1823	1230
597	1825	1227
598	1828	1224
599	1834	1222
600	1838	1220
601	1840	1216
602	1850	1218
603	1852	1214
604	1854	1210
605	1856	1206
606	1862	1205
607	1864	1201
608	1869	1200
609	1878	1200
610	1880	1197
611	1882	1193
612	1885	1190
613	1890	1188
614	1893	1185
615	1897	1182
616	1900	1179
617	1904	1176
618	1906	1173
619	1907	1169
620	1909	1165
621	1911	1161
622	1913	1157
623	1914	1153
624	1926	1156
625	1928	1152
626	1930	1148
627	1932	1144
628	1933	1140
629	1937	1138
630	1939	1134
631	1943	1131
632	1945	1128
633	1947	1124
634	1952	1122
635	1956	1120
636	1962	1118
637	1966	1115
638	1968	1111
639	1970	1108
640	1997	1118
641	2000	1115
642	2002	1111
643	2004	1108
644	2006	1104
645	2008	1100
646	2014	1098
647	2016	1095
648	2018	1091
649	2020	1087
650	2023	1084
651	2036	1087
652	2038	1083
653	2040	1079
654	2045	1077
655	2047	1073
656	2052	1071
657	2054	1067
658	2056	1063
659	2057	1060
660	2061	1057
661	2063	1053
662	2065	1049
663	2066	1045
664	2068	1042
665	2072	1039
666	2078	1037
667	2080	1033
668	2082	1030
669	2083	1026
670	2085	1022
671	2088	1019
672	2108	1024
673	2110	1020
674	2112	1016
675	2113	1013
676	2115	1009
677	2117	1005
678	2118	1001
679	2120	997
680	2127	996
681	2141	998
682	2153	999
683	2155	995
684	2158	992
685	2159	988
686	2161	984
687	2163	981
688	2165	977
689	2166	973
690	2168	969
691	2170	965
692	2173	962
693	2175	959
694	2177	955
695	2179	951
696	2181	948
697	2182	944
698	2184	940
699	2191	939
700	2193	935
701	2195	931
702	2197	928
703	2198	924
704	2200	920
705	2204	917
706	2205	914
707	2207	910
708	2209	906
709	2211	903
710	2212	899
711	2214	895
712	2216	892
713	2218	888
714	2220	885
715	2222	881
716	2224	877
717	2232	876
718	2234	873
719	2236	869
720	2238	866
721	2240	862
722	2242	859
723	2243	855
724	2245	851
725	2247	848
726	2254	846
727	2261	845
728	2263	841
729	2266	838
730	2275	837
731	2277	833
732	2279	830
733	2280	826
734	2282	823
735	2284	819
736	2287	816
737	2288	812
738	2290	809
739	2292	805
740	2294	801
741	2296	798
742	2299	795
743	2300	791
744	2302	788
745	2304	784
746	2305	780
747	2307	777
748	2317	776
749	2319	773
750	2321	769
751	2322	766
752	2324	762
753	2327	759
754	2330	756
755	2351	759
756	2354	755
757	2355	752
758	2357	748
759	2359	745
760	2363	742
761	2364	738
762	2366	735
763	2368	731
764	2371	728
765	2373	725
766	2375	721
767	2378	718
768	2380	714
769	2381	711
770	2383	707
771	2384	704
772	2387	700
773	2388	697
774	2397	696
775	2399	692
776	2400	689
777	2402	685
778	2404	682
779	2406	678
780	2407	675
781	2411	672
782	2412	668
783	2414	665
784	2416	661
785	2418	658
786	2419	654
787	2421	651
788	2422	647
789	2426	644
790	2428	641
791	2432	638
792	2434	635
793	2437	632
794	2439	628
795	2443	626
796	2444	622
797	2446	619
798	2449	616
799	2452	613
800	2454	609
801	2456	606
802	2458	603
803	2460	599
804	2463	596
805	2466	593
806	2468	590
807	2469	586
808	2473	583
809	2475	580
810	2476	577
811	2479	574
812	2480	570
813	2482	567
814	2484	563
815	2485	560
816	2488	557
817	2490	554
818	2492	550
819	2493	547
820	2495	544
821	2498	540
822	2499	537
823	2501	534
824	2502	530
825	2505	527
826	2507	524
827	2509	521
828	2510	517
829	2512	514
830	2513	511
831	2514	507
832	2515	504
833	2517	501
834	2520	498
835	2522	494
836	2524	491
837	2526	488
838	2528	485
839	2529	481
840	2532	478
841	2537	476
842	2539	472
843	2541	469
844	2544	466
845	2546	463
846	2548	460
847	2550	457
848	2551	453
849	2553	450
850	2555	447
851	2556	444
852	2558	440
853	2560	437
854	2561	434
855	2563	431
856	2568	428
857	2570	425
858	2571	422
859	2573	418
860	2576	415
861	2578	412
862	2582	409
863	2585	406
864	2586	403
865	2588	400
866	2590	397
867	2591	394
868	2593	390
869	2598	388
870	2600	385
871	2602	381
872	2603	378
873	2605	375
874	2606	372
875	2608	369
876	2610	366
877	2615	363
878	2616	360
879	2618	357
880	2619	353
881	2621	350
882	2623	347
883	2642	346
884	2645	343
885	2647	340
886	2653	337
887	2654	334
888	2656	331
889	2657	328
890	2661	325
891	2662	322
892	2664	319
893	2666	316
894	2667	312
895	2669	309
896	2671	306
897	2672	303
898	2674	300
899	2676	297
900	2678	294
901	2679	291
902	2681	288
903	2682	284
904	2684	281
905	2686	278
906	2687	275
907	2688	272
908	2690	269
909	2692	266
910	2693	263
911	2695	260
912	2699	257
913	2700	254
914	2702	251
915	2703	247
916	2708	245
917	2710	242
918	2712	239
919	2713	235
920	2715	232
921	2717	229
922	2718	226
923	2720	223
924	2723	220
925	2725	217
926	2726	214
927	2728	211
928	2731	208
929	2733	205
930	2736	202
931	2739	199
932	2741	196
933	2742	193
934	2744	190
935	2746	187
936	2747	184
937	2749	181
938	2750	178
939	2752	175
940	2754	172
941	2756	169
942	2758	166
943	2759	163
944	2761	160
945	2763	157
946	2765	154
947	2766	151
948	2768	148
949	2771	145
950	2773	142
951	2774	139
952	2776	136
953	2778	133
954	2779	130
955	2780	127
956	2781	124
957	2783	122
958	2786	119
959	2788	116
960	2789	113
961	2790	110
962	2791	107
963	2793	104
964	2794	101
965	2795	98
966	2797	95
967	2798	92
968	2799	89
969	2802	86
970	2804	83
971	2805	80
972	2807	77
973	2809	74
974	2810	72
975	2811	69
976	2813	66
977	2815	63
978	2818	60
979	2819	57
980	2821	54
981	2823	51
982	2824	48
983	2825	45
984	2827	43
985	2828	40
986	2830	37
987	2832	34
988	2834	31
989	2835	28
990	2836	25
991	2837	22
992	2839	20
993	2840	17
994	2841	14
995	2843	11
996	2844	8
997	2845	5
998	2847	2
999	2849	0
